cThinning,1000,10000,5950
germinationDay,75,150,136
hNutrient,0.0,0.02,0.005
hPhotoLight,5.0,300.0,20.0
hPhotoTemp,8.0,20.0,14.0
hWaveMort,0.0,2.0,1.0
maxAge,150,300,192
maxWaveMort,0.0,1.0,0.3
pMax,0.001,2.0,1.2
pNutrient,1.0,8.0,8.0
pPhotoTemp,1.0,8.0,3.0
pWaveMort,1.0,8.0,4.0
q10,1.0,8.0,2.0
reproDay,227,289,283
resp20,0.0001,0.1,0.02
seedBiomass,0.00000001,0.1,0.03
seedFraction,0.0,0.3,0.25
seedsStartAge,10,100,30
seedsEndAge,100,150,60
sPhotoTemp,0.5,1.5,1.0
seedGermination,0.2,1.0,0.8
cTuber,0.01,0.5,0.1
heightMax,0.01,5.0,0.35
maxWeightLenRatio,0.005,0.5,0.02
rootShootRatio,0.01,0.5,0.1
fracPeriphyton,0.05,0.5,0.2
hPhotoDist,0.5,3.0,1.0
plantK,0.005,0.1,0.02
Kohler5,10,600,100
